Date,Open,High,Low,Close,Volume,MA5
2021-01-08,103.27999877929688,103.94999694824219,102.0999984741211,103.45999908447266,1974800,103.69199829101562
2021-01-11,103.25,103.4000015258789,102.05999755859375,102.37000274658203,1276200,103.11799926757813
2021-01-12,102.37999725341797,103.02999877929688,100.69999694824219,101.68000030517578,1797900,102.36999969482422
2021-01-13,102.4800033569336,102.72000122070312,101.44999694824219,101.68000030517578,1580000,102.4
2021-01-14,101.5199966430664,103.16000366210938,101.1500015258789,102.8499984741211,2470900,102.40800018310547
2021-01-15,103.33999633789062,107.04000091552734,103.22000122070312,106.44999694824219,3108900,103.00599975585938
2021-01-19,107.37999725341797,110.06999969482422,107.29000091552734,110.01000213623047,2320200,104.53399963378907
2021-01-20,111.95999908447266,111.95999908447266,108.9000015258789,109.36000061035156,1191100,106.06999969482422
2021-01-21,109.31999969482422,111.25,108.16999816894531,109.94999694824219,1569800,107.7239990234375
2021-01-22,109.9000015258789,110.1500015258789,108.86000061035156,109.05999755859375,1416500,108.96599884033203
2021-01-25,109.1500015258789,111.76000213623047,109.12000274658203,111.33000183105469,2345400,109.94199981689454
2021-01-26,112.02999877929688,117.22000122070312,111.5,117.0,2496700,111.33999938964844
2021-01-27,117.2699966430664,124.91000366210938,116.05000305175781,120.44000244140625,5221000,113.55599975585938
2021-01-28,120.75,121.11000061035156,112.30999755859375,112.77999877929688,3648400,114.12200012207032
2021-01-29,111.62999725341797,116.19999694824219,110.91000366210938,111.02999877929688,2430200,114.51600036621093
2021-02-01,112.80000305175781,112.80999755859375,109.22000122070312,111.6500015258789,1402600,114.58000030517579
2021-02-02,112.0,112.88999938964844,110.77999877929688,112.20999908447266,1714200,113.62200012207032
2021-02-03,113.0,113.19000244140625,111.3499984741211,111.5999984741211,1133200,111.85399932861328
2021-02-04,112.51000213623047,113.05999755859375,111.05999755859375,112.11000061035156,945800,111.71999969482422
2021-02-05,112.7699966430664,114.87999725341797,111.80000305175781,114.66999816894531,1288500,112.4479995727539
2021-02-08,115.47000122070312,117.83999633789062,114.83000183105469,117.27999877929688,1443000,113.5739990234375
2021-02-09,117.55000305175781,118.62999725341797,115.9800033569336,117.97000122070312,2022100,114.72599945068359
2021-02-10,107.36000061035156,110.16999816894531,103.4800033569336,105.0999984741211,9341100,113.42599945068359
2021-02-11,105.91000366210938,105.94999694824219,100.45999908447266,101.45999908447266,5569400,111.2959991455078
2021-02-12,102.38999938964844,102.38999938964844,100.5199966430664,101.58999633789062,2433600,108.67999877929688
2021-02-16,102.25,102.5199966430664,98.5,98.87999725341797,2894800,104.9999984741211
2021-02-17,99.0,102.11000061035156,98.5999984741211,101.94999694824219,2476200,101.7959976196289
2021-02-18,101.22000122070312,101.55000305175781,99.36000061035156,99.69999694824219,2181900,100.71599731445312
2021-02-19,100.02999877929688,100.61000061035156,98.72000122070312,98.86000061035156,2398000,100.19599761962891
2021-02-22,98.77999877929688,99.69000244140625,97.12000274658203,98.05999755859375,2363300,99.48999786376953
2021-02-23,96.7300033569336,98.26000213623047,95.4000015258789,97.63999938964844,1948700,99.24199829101562
2021-02-24,97.37000274658203,98.29000091552734,95.05999755859375,97.54000091552734,2463000,98.35999908447266
2021-02-25,98.45999908447266,99.22000122070312,94.91999816894531,95.48999786376953,2422200,97.51799926757812
2021-02-26,96.0,96.56999969482422,94.12999725341797,94.5,2696100,96.64599914550782
2021-03-01,96.29000091552734,96.58000183105469,94.5,95.94000244140625,1963100,96.22200012207031
2021-03-02,98.3499984741211,98.55999755859375,95.83999633789062,95.86000061035156,1669200,95.86600036621094
