Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5
2021-01-08 00:00:00-05:00,245.5516897664338,248.0834395184957,243.2061093630128,245.87747192382812,2010700,0.0,0.0,242.46705627441406
2021-01-11 00:00:00-05:00,244.63950232252293,246.38939191804937,242.2566823983243,242.33116149902344,1745100,0.0,0.0,243.1912109375
2021-01-12 00:00:00-05:00,242.1170731040596,243.1409477126218,238.3008286933031,240.51611328125,1898200,0.0,0.0,243.2805633544922
2021-01-13 00:00:00-05:00,239.51678600337408,241.98245371257613,239.51678600337408,240.10516357421875,1870700,0.88,0.0,242.7627746582031
2021-01-14 00:00:00-05:00,240.263955374325,240.263955374325,237.34062261053305,238.1625213623047,2253200,0.0,0.0,241.398486328125
2021-01-15 00:00:00-05:00,236.87360861024518,239.06844512437192,236.32256940074436,236.90162658691406,1915100,0.0,0.0,239.6033172607422
2021-01-19 00:00:00-05:00,237.61146561537575,240.3106258490696,236.9950415942763,238.94703674316406,2249400,0.0,0.0,238.9264923095703
2021-01-20 00:00:00-05:00,240.95510164142232,245.05524686357074,240.03047973135855,244.3921356201172,2081600,0.0,0.0,239.70169677734376
2021-01-21 00:00:00-05:00,243.2619973615851,244.5228634906089,239.94641282093303,240.9084014892578,1625600,0.0,0.0,239.86234436035156
2021-01-22 00:00:00-05:00,238.5080819729861,239.44205262941946,236.82694619241502,237.9477081298828,2049600,0.0,0.0,239.8193817138672
2021-01-25 00:00:00-05:00,235.22984134745195,237.03239780669747,232.61472075648385,235.39794921875,1921600,0.0,0.0,239.51864624023438
2021-01-26 00:00:00-05:00,236.47205435960174,237.61149980452075,234.55741148895837,236.28526306152344,1345500,0.0,0.0,238.98629150390624
2021-01-27 00:00:00-05:00,232.24116727836463,234.63213008895585,228.25310823422717,229.85020446777344,1833100,0.0,0.0,236.0779052734375
2021-01-28 00:00:00-05:00,232.78286270133876,236.10779611746307,231.75548922949724,232.87625122070312,1794200,0.0,0.0,234.47147521972656
2021-01-29 00:00:00-05:00,231.84888371225966,232.7735055526028,225.76872554388729,225.94618225097656,2494400,0.0,0.0,232.0711700439453
2021-02-01 00:00:00-05:00,229.85020639391487,232.4653130828745,227.86084414364103,231.22314453125,1559700,0.0,0.0,231.2362091064453
2021-02-02 00:00:00-05:00,233.49265860552765,234.82822977214605,232.21312339677286,232.3251953125,2010300,0.0,0.0,230.44419555664064
2021-02-03 00:00:00-05:00,231.80218325741802,233.59540523668304,230.30782448239978,231.9702911376953,2470400,0.0,0.0,230.868212890625
2021-02-04 00:00:00-05:00,233.0817134057505,236.32259270513273,230.60669688086716,236.3039093017578,1702200,0.0,0.0,231.55374450683593
2021-02-05 00:00:00-05:00,237.31262169331492,238.8630165406265,235.51006500733868,236.79893493652344,1497700,0.0,0.0,233.72429504394532
2021-02-08 00:00:00-05:00,237.153847105497,240.35737413429175,237.00440836772984,240.32000732421875,1508700,0.0,0.0,235.54366760253907
2021-02-09 00:00:00-05:00,239.38603776843567,241.72096461530703,238.7322611015642,240.6655731201172,1542600,0.0,0.0,237.2117431640625
