Date,Open,High,Low,Close,Volume,MA5
2021-01-08,130.20264166776246,130.81023614095287,127.83104635705703,129.5068359375,1340800,122.52923889160157
2021-01-11,129.35005251462516,133.72083897511223,127.90945302086757,132.98583984375,2108600,125.76519927978515
2021-01-12,133.65223173585198,136.73922175745528,133.32883036014977,134.3480224609375,1478900,128.82279357910156
2021-01-13,133.8286465584754,134.59304449943008,132.6428562708698,133.29945373535156,1452800,131.4903564453125
2021-01-14,135.4456014634145,136.7587958858713,133.94618997676977,135.6219940185547,1563000,133.15242919921874
2021-01-15,135.23985982363152,135.8082610289162,132.07446729157854,134.55386352539062,1733900,134.16183471679688
2021-01-19,136.44522299023814,138.73843145038572,136.24922622921207,137.81723022460938,1875000,135.12811279296875
2021-01-20,140.41422372471317,140.53181879293055,135.13203090909232,135.83763122558594,1955900,135.42603454589843
2021-01-21,137.96420549631907,138.581609416405,135.9748094800337,137.4350128173828,1301600,136.25314636230468
2021-01-22,136.56284907053416,137.60164548437746,134.58324715808791,135.1908416748047,1357100,136.1669158935547
2021-01-25,137.67021191800256,138.95400781057543,134.91641798900096,137.3076171875,1364200,136.71766662597656
2021-01-26,137.88581729677404,138.22882283116553,135.3084308244495,135.33782958984375,1249800,136.22178649902344
2021-01-27,132.69181585417004,132.79961630757165,126.81182374919483,127.50762939453125,2360400,134.5557861328125
2021-01-28,121.23561433386476,121.51981479794635,117.2176219528401,117.54102325439453,4093700,130.57698822021484
2021-01-29,117.32544037892838,117.32544037892838,110.77904905296009,111.21025085449219,4974800,125.78087005615234
2021-02-01,114.16985845347926,115.56145493375982,111.71986149095824,115.19886016845703,3083000,121.35911865234375
2021-02-02,119.06984236683505,119.35404288780688,116.23764671444255,119.17764282226562,4276000,118.12708129882813
2021-02-03,121.00043728164681,121.52963746197646,117.60964277224262,118.15843963623047,2495600,116.25724334716797
2021-02-04,119.73623053198294,123.10742814473458,118.53082895125735,123.0094223022461,1882000,117.35092315673828
2021-02-05,124.68524951288677,125.58683912969734,122.31364675546067,123.59745025634766,1936200,119.82836303710937
2021-02-08,125.41046263844135,127.04705903583904,123.9698630337769,126.508056640625,1594000,122.09020233154297
2021-02-09,125.66520605285866,127.0666117125518,124.17561159200841,125.70441436767578,2134100,123.395556640625
2021-02-10,126.9784501909349,128.85023651205012,124.7342445914819,126.13565063476562,1816200,124.99099884033203
2021-02-11,126.50801583061465,132.69180461115093,126.50801583061465,132.33900451660156,1834600,126.85691528320312
2021-02-12,132.682020100064,140.90420839074488,132.33901458214422,139.56161499023438,2391500,130.04974822998048
2021-02-16,142.87402027371994,144.94181836593373,139.92422923182426,140.76702880859375,2341500,132.90154266357422
2021-02-17,138.24842638145282,138.8756249630807,131.83922638914885,136.51382446289062,2169000,135.06342468261718
2021-02-18,133.36576802143827,135.17025743129975,131.88489733993387,133.8659210205078,1666200,136.60947875976564
2021-02-19,136.97474408160286,140.49546317720743,136.70014852321418,139.83839416503906,2081500,138.10935668945314
2021-02-22,137.27878195999773,137.2984002071848,129.28605964795753,129.8352508544922,1928000,136.1640838623047
2021-02-23,124.44136638283172,129.3448799371467,122.16613639291629,127.27559661865234,3288900,133.4657974243164
2021-02-24,126.20665893770949,131.84570062800896,123.77451244695624,131.60052490234375,2386800,132.48313751220704
2021-02-25,130.20790760700407,130.71786225993833,122.89185854705592,123.21549224853516,1736600,130.3530517578125
2021-02-26,124.50021129873682,127.35405989678306,121.63656106033758,126.12818145751953,1925000,127.61100921630859
2021-03-01,128.93296259446,131.7573906645881,127.98167994484973,131.4141387939453,2157900,127.92678680419922
2021-03-02,131.16898431581842,131.4043583477328,124.29425638863286,124.35310363769531,1698600,127.34228820800782
2021-03-03,124.20600632111992,126.18702260848318,119.11615659133359,119.14557647705078,1972800,124.85129852294922
2021-03-04,118.66502988698295,119.10634312096816,109.16201807446716,111.77069091796875,3351400,122.56233825683594
2021-03-05,115.20314217864328,115.55619573331899,104.39579472127535,111.70203399658203,3451600,119.67710876464844
2021-03-08,110.64288469849694,111.46667890475481,102.04212481541109,102.18922424316406,3907800,113.83212585449219
2021-03-09,106.8966082379154,112.61410752012259,106.52394385690528,111.1528549194336,3146600,111.19207611083985
2021-03-10,114.94816224858585,114.98739125433659,106.06299820565745,106.80833435058594,2867700,108.72462768554688
2021-03-11,108.85800836486115,112.61410180055832,108.85800836486115,111.6628189086914,2136000,108.7030532836914
2021-03-12,108.88741922569322,111.36859585138511,107.92633477286846,110.6526870727539,1705100,108.49318389892578
2021-03-15,111.32937662175911,116.08579110452064,111.05478103969627,115.47775268554688,2493000,111.15088958740235
2021-03-16,117.39009884443571,117.67450349779132,113.85957096230365,115.08544921875,2368500,111.93740844726562
2021-03-17,113.39866604106074,116.5761486114813,111.19208466379754,115.20316314697266,2543000,113.61637420654297
2021-03-18,113.14367679724887,113.8105549537818,109.98581280549496,110.20156860351562,2485500,113.32412414550781
2021-03-19,110.75077851808646,113.82037589379483,109.1718462544791,112.69257354736328,3196300,113.73210144042969
2021-03-22,115.20315178037076,116.41922107995974,112.89850184349736,114.75202941894531,2148700,113.58695678710937
2021-03-23,114.20282219640934,115.91905185790556,109.73082044417569,110.93708801269531,2821000,112.75728454589844
2021-03-24,114.53628195222076,115.66409167891834,109.72102756895765,109.83871459960938,2098300,111.68439483642578
2021-03-25,107.88711338045498,109.97600757841155,105.76879181449762,109.58372497558594,1481300,111.56082611083984
2021-03-26,110.28003383873744,116.85074750342129,109.95640758072678,116.72325134277344,2239400,112.36696166992188
2021-03-29,115.86021671155754,115.93867472350273,110.18194716441978,111.69223022460938,2448500,111.75500183105468
2021-03-30,111.41763259726491,114.4087787781965,111.01554090513379,113.72228240966797,1050500,112.31204071044922
2021-03-31,115.55621253166045,120.4989555334767,115.35026584185584,119.33191680908203,2316700,114.21068115234375
2021-04-01,121.70520156001534,126.43218819652301,121.70520156001534,126.32431030273438,2179600,117.55879821777344
2021-04-05,128.0405589562078,131.18862162151444,125.52996210833511,130.11964416503906,2013000,120.23807678222656
2021-04-06,129.66852341610078,132.21835664256525,127.71691948699637,129.825439453125,1991800,123.86471862792969
2021-04-07,129.04086196625096,130.8159314438881,127.94247974016288,129.23699951171875,1319700,126.96766204833985
2021-04-08,131.1101968766335,131.71822799633244,129.70778369380156,131.33575439453125,1497700,129.3684295654297
2021-04-09,130.178477239935,131.48281358111393,128.83490441209807,130.49229431152344,1155600,130.2020263671875
2021-04-12,129.6390941441586,129.86465157834056,126.75582577101169,127.91304779052734,1612100,129.76070709228514
2021-04-13,129.20759090157443,129.44296495527365,124.76500851781715,126.51065826416016,1560700,129.09775085449218
2021-04-14,126.52045456009495,128.87415010464824,125.0690187011056,125.61820983886719,925900,128.37399291992188
2021-04-15,127.84441637736373,129.08991311140284,125.55937707961367,128.6584014892578,1612500,127.8385223388672
2021-04-16,129.01148485196092,129.86469168798172,126.85394120788486,126.9814224243164,1501400,127.13634796142578
2021-04-19,126.10856192595479,126.66756967143762,122.3720868754918,123.88236999511719,1524800,126.33021240234375
2021-04-20,123.13702506901028,124.51981942759997,120.32241318971221,121.87191772460938,1276100,125.4024642944336
