Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5
2021-01-08 00:00:00-05:00,124.51113411765947,127.85491880585056,124.33216884776243,126.77171325683594,999400,0.0,0.0,122.53501434326172
2021-01-11 00:00:00-05:00,125.28350751978293,127.30862367117453,125.04802990025459,125.8863296508789,686400,0.0,0.0,123.75761108398437
2021-01-12 00:00:00-05:00,125.53783299436442,127.85493919813823,125.18933070102985,126.61161041259766,652400,0.0,0.0,124.99716644287109
2021-01-13 00:00:00-05:00,126.57398863347149,128.31651513774307,126.31025473690694,127.11087036132812,972700,0.0,0.0,126.13688812255859
2021-01-14 00:00:00-05:00,127.32744438659685,128.2976253472243,126.63985380043952,126.96952819824219,677700,0.0,0.0,126.67001037597656
2021-01-15 00:00:00-05:00,126.41381322666575,126.81882783873513,123.55039728761034,125.89575958251953,811000,0.0,0.0,126.49481964111328
2021-01-19 00:00:00-05:00,125.69796265857862,127.04490224697594,122.45778799905422,125.245849609375,784300,0.0,0.0,126.3667236328125
2021-01-20 00:00:00-05:00,126.07469155126242,128.87216611781145,125.36825887026336,128.24107360839844,774600,0.0,0.0,126.69261627197265
2021-01-21 00:00:00-05:00,127.93970911770444,129.79527401309306,126.93185795103338,129.67282104492188,750200,0.0,0.0,127.2050064086914
2021-01-22 00:00:00-05:00,128.56136118836756,129.2772079490258,127.4593276977539,127.4593276977539,804800,0.0,0.0,127.30296630859375
2021-01-25 00:00:00-05:00,127.93027264519534,129.0511339064755,127.00719013956005,127.3745346069336,610100,0.0,0.0,127.59872131347656
2021-01-26 00:00:00-05:00,128.23167872388126,128.23167872388126,125.47188820567538,126.44205474853516,461300,0.0,0.0,127.8379623413086
2021-01-27 00:00:00-05:00,125.23644115414112,126.48916961896279,122.77805388469707,125.29295349121094,963400,0.0,0.0,127.24833831787109
2021-01-28 00:00:00-05:00,125.86747806249221,128.4859875482455,124.94439561981153,126.68693542480469,986700,0.0,0.0,126.65116119384766
