Date,Open,High,Low,Close,Volume,MA5
2021-01-08,358.9444607508692,364.0307676427685,357.7893598158722,363.47747802734375,1259100,357.6548583984375
2021-01-11,365.0985295375349,365.71005707676426,355.63448621001567,361.419677734375,1514900,357.894580078125
2021-01-12,360.92474450669914,361.70129942362945,351.72279831576947,354.9454345703125,1242200,357.3879821777344
2021-01-13,354.26591126072805,356.5566813468636,349.92700929483374,354.2561950683594,1019500,358.26893310546876
2021-01-14,354.57652071324674,358.78923052025,354.26589879375814,354.7900695800781,1146200,357.77777099609375
2021-01-15,354.1785340985335,362.8757402940721,352.3827863429749,360.1287536621094,1597800,357.1080261230469
2021-01-19,363.87552925338395,375.047964897024,363.3804774332638,373.659912109375,1578400,359.5560729980469
2021-01-20,380.1828637202414,386.4436762041459,377.5717553981156,378.03765869140625,2051800,364.1745178222656
2021-01-21,374.8829577137041,377.0281626334427,366.7293246478506,370.55377197265625,1736700,367.434033203125
2021-01-22,373.1259452514405,373.1259452514405,363.65221595803524,363.8560485839844,1150600,369.2472290039062
2021-01-25,366.9525330613664,367.7290581391696,353.6252073907693,363.4483947753906,1588200,369.9111572265625
2021-01-26,363.060210897617,365.10834288956335,359.42019326451424,363.8076171875,663500,367.9406982421875
2021-01-27,357.21673146121424,364.00171392965166,348.7912826096624,352.4604187011719,1928100,362.82525024414065
2021-01-28,355.60534030542095,365.6226725159909,354.98409662296893,359.0997619628906,1395100,360.5344482421875
2021-01-29,355.6150773250449,359.0415750091827,349.1407171787647,350.63555908203125,1523500,357.8903503417969
2021-02-01,354.77065506031323,367.3505768302279,353.89705678748146,362.6233825683594,1260100,357.7253479003906
2021-02-02,365.2926919346398,374.1646412195226,364.5161667975649,372.8445129394531,1123400,359.53272705078126
2021-02-03,371.45646847512364,372.4271397293949,365.94306286027137,369.00067138671875,807300,362.8407775878906
2021-02-04,370.73815018838997,381.42524928241613,368.8550457429522,381.2117004394531,1522100,367.26316528320314
2021-02-05,381.0272547541979,384.8419851965998,376.34861278480986,377.9599304199219,867300,372.72803955078126
2021-02-08,381.9397176690454,383.5607219981303,375.5332817703783,378.30938720703125,898600,375.8652404785156
2021-02-09,374.53347629272065,381.3378610406283,373.35897247313716,380.0662841796875,817700,377.3095947265625
2021-02-10,384.23048487939593,387.33664457347106,379.134461071092,385.6379699707031,1150300,380.6370544433594
2021-02-11,388.2684764516303,397.2957066801171,384.9584841351761,396.8298034667969,1226900,383.76067504882815
2021-02-12,397.9751760774145,402.3140773527208,395.1796383936557,401.84814453125,1066800,388.53831787109374
2021-02-16,405.29401115020914,411.3121540743643,405.03191100011674,409.8755798339844,1378600,394.8515563964844
2021-02-17,407.61393708997696,408.0798699154389,399.9650435348758,403.6147766113281,1164700,399.5612548828125
2021-02-18,402.22673541440247,407.681902802777,396.4512299423495,403.2071228027344,1038700,403.07508544921876
2021-02-19,401.22701779405395,405.55620382159645,397.1599023730027,399.2856750488281,1287900,403.566259765625
2021-02-22,396.18919333825033,396.8492426994727,389.4721350443819,389.7730407714844,1179200,401.1512390136719
2021-02-23,386.4435796692303,390.98631337925747,378.7946865413463,387.3851318359375,2483100,396.6531494140625
2021-02-24,376.9019580291593,403.24596105445937,371.5729525809224,401.06195068359375,3307900,396.1425842285156
2021-02-25,395.63589276875274,396.9560210775964,375.31003434503987,376.6010437011719,2148100,390.8213684082031
2021-02-26,379.0082851556515,384.97790737414823,373.7084284644654,378.69769287109375,1765300,386.7037719726562
2021-03-01,384.70612617597925,395.8979645820502,382.65802404293595,394.4905090332031,1545000,387.647265625
2021-03-02,394.5681660724821,394.5972850264931,386.97753904241307,389.9671936035156,1198400,388.16367797851564
2021-03-03,387.37542528875656,389.24884310097593,377.06690252764315,377.3095703125,1369900,383.4132019042969
2021-03-04,377.02810393320794,380.58073430091633,362.6136313235294,365.29266357421875,1930000,381.1515258789062
2021-03-05,370.7284268847205,372.73772328370455,356.9934359746843,371.0002136230469,1588200,379.6120300292969
2021-03-08,370.34985758401007,376.7271441599292,358.95415879451537,359.5559997558594,1652900,372.6251281738281
2021-03-09,369.709314965979,377.2902559716956,368.6415705378768,373.30078125,1770700,369.291845703125
2021-03-10,382.9976695850949,382.9976695850949,371.03899556816725,371.59228515625,1388800,368.148388671875
2021-03-11,379.0277244834447,389.2682944332265,378.87241352705246,387.4628601074219,1445300,372.5824279785156
2021-03-12,382.64826182883263,384.9972990216926,376.0185909761355,384.3372497558594,1305100,375.2498352050781
2021-03-15,381.8328204795862,386.32703164257,378.93052386680637,385.2010498046875,1407900,380.37884521484375
2021-03-16,388.76352774325755,390.10305872491534,380.978725841894,383.82281494140625,1077300,382.483251953125
2021-03-17,381.3281864366197,384.2207676511038,374.43641499948467,380.2313232421875,1765800,384.2110595703125
2021-03-18,372.80573933828737,374.3199842210088,362.5069012747703,363.001953125,1868400,379.3188781738281
2021-03-19,363.2737464105147,374.00936898473384,362.34191022505496,370.0975646972656,4423200,376.4709411621094
