Date,Open,High,Low,Close,Volume,MA5
2021-01-08,140.91000366210938,147.02000427246094,140.91000366210938,146.8000030517578,2190300,137.78599853515624
2021-01-11,145.0,151.16000366210938,144.97999572753906,150.14999389648438,1854300,141.5799987792969
2021-01-12,149.60000610351562,150.552001953125,146.60000610351562,146.82000732421875,1862100,144.1760009765625
2021-01-13,147.60000610351562,148.5800018310547,146.02000427246094,146.61000061035156,1203200,146.2760009765625
2021-01-14,147.3800048828125,148.69000244140625,146.85000610351562,147.02999877929688,1043200,147.48200073242188
2021-01-15,148.38999938964844,148.60000610351562,145.33999633789062,146.2899932861328,3089700,147.37999877929687
2021-01-19,147.13999938964844,148.39999389648438,145.22999572753906,147.07000732421875,1328200,146.76400146484374
2021-01-20,148.7100067138672,150.6199951171875,147.1999969482422,147.52999877929688,1191300,146.90599975585937
2021-01-21,148.0800018310547,148.82000732421875,146.4499969482422,146.67999267578125,835300,146.9199981689453
2021-01-22,146.2899932861328,147.9499969482422,145.14999389648438,145.16000366210938,1289200,146.5459991455078
2021-01-25,145.94000244140625,148.52499389648438,145.1699981689453,146.0500030517578,2632200,146.4980010986328
2021-01-26,146.0500030517578,147.05999755859375,145.19500732421875,146.8800048828125,1432600,146.46000061035156
2021-01-27,144.8800048828125,152.35000610351562,144.22999572753906,151.1199951171875,2672900,147.1779998779297
2021-01-28,152.0,153.2100067138672,145.24000549316406,145.4199981689453,2931800,146.9260009765625
2021-01-29,145.5,146.85499572753906,140.75999450683594,141.58999633789062,2065300,146.21199951171874
2021-02-01,142.8800048828125,143.64500427246094,140.82000732421875,142.80999755859375,1296500,145.56399841308593
2021-02-02,143.97000122070312,144.8679962158203,141.50999450683594,141.5399932861328,2376100,144.49599609375
2021-02-03,142.4600067138672,142.92999267578125,141.0500030517578,141.4600067138672,1183400,142.56399841308593
2021-02-04,142.27999877929688,142.55999755859375,139.6999969482422,140.58999633789062,1107700,141.597998046875
2021-02-05,141.1699981689453,143.1999969482422,141.1699981689453,142.9499969482422,1114100,141.8699981689453
2021-02-08,144.0,144.9600067138672,143.34500122070312,144.6999969482422,1004800,142.247998046875
2021-02-09,144.3800048828125,146.91000366210938,144.3249969482422,146.39999389648438,857500,143.21999816894532
2021-02-10,147.38999938964844,148.75999450683594,146.11500549316406,148.4499969482422,1004900,144.6179962158203
