Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5
2021-01-08 00:00:00-05:00,166.96326559165743,168.04026807133857,157.8685592575073,161.11798095703125,2827900,0.0,0.0,155.83423767089843
2021-01-11 00:00:00-05:00,160.52892157006434,162.43439805703022,158.26444409879682,159.44271850585938,3000900,0.0,0.0,157.89067687988282
2021-01-12 00:00:00-05:00,160.4368316333544,164.77247098875966,159.46108628714464,162.08456420898438,3112100,0.0,0.0,159.80719299316405
2021-01-13 00:00:00-05:00,163.84272478994984,163.84272478994984,162.17657824940085,163.31802368164062,1750300,0.0,0.0,161.4088897705078
2021-01-14 00:00:00-05:00,164.42263029634745,166.6963068647336,164.42263029634745,165.6929473876953,2617400,0.0,0.0,162.33124694824218
2021-01-15 00:00:00-05:00,165.36155589842716,165.5456563585064,155.06097573529473,158.5313262939453,3598600,0.0,0.0,161.813916015625
2021-01-19 00:00:00-05:00,163.216784007528,164.31220092773438,160.66694928154882,161.09039306640625,2522300,0.0,0.0,162.14345092773436
2021-01-20 00:00:00-05:00,164.64357843251142,165.9783245214086,159.9029241714731,160.6209259033203,2590700,0.0,0.0,161.85072326660156
2021-01-21 00:00:00-05:00,162.60001656540996,162.7012739313926,158.08027766395028,159.82005310058594,2187400,0.0,0.0,161.15112915039063
2021-01-22 00:00:00-05:00,158.85356968076124,161.2469046132107,158.2552254131715,158.6050262451172,1974000,0.0,0.0,159.733544921875
2021-01-25 00:00:00-05:00,162.64606444831045,162.70129319157235,157.4359376291069,160.55648803710938,2006000,0.0,0.0,160.13857727050782
2021-01-26 00:00:00-05:00,160.5565165762024,160.59334510890147,155.25434559108484,155.33718872070312,2231100,0.0,0.0,158.9879364013672
2021-01-27 00:00:00-05:00,149.78647614947954,151.36055181553408,143.6190171674194,147.79815673828125,3714500,0.0,0.0,156.4233825683594
2021-01-28 00:00:00-05:00,153.29361188788275,153.54215527618572,149.4734740246268,151.2684783935547,2484700,0.0,0.0,154.71306762695312
2021-01-29 00:00:00-05:00,151.10278028731116,154.23254486523803,147.1077419840775,147.7152862548828,3535400,0.0,0.0,152.53511962890624
2021-02-01 00:00:00-05:00,153.21076883404908,158.7338678458261,152.89779659441382,157.8961944580078,4953000,0.0,0.0,152.00306091308593
2021-02-02 00:00:00-05:00,165.69297554124958,168.45452513360374,157.13216899575815,163.12474060058594,6621800,0.0,0.0,153.5605712890625
2021-02-03 00:00:00-05:00,165.68374258505128,167.2946461945567,159.3505856141155,160.26190185546875,3272600,0.0,0.0,156.0533203125
2021-02-04 00:00:00-05:00,161.9096258656613,167.02769470214844,161.2284386864442,167.02769470214844,2703100,0.0,0.0,159.20516357421874
2021-02-05 00:00:00-05:00,168.4084988069435,169.49471563206586,166.66872310174477,167.52481079101562,3031400,0.0,0.0,163.1670684814453
2021-02-08 00:00:00-05:00,170.01942203048014,173.19520165602842,169.37506318624807,173.16758728027344,2332800,0.0,0.0,166.22134704589843
2021-02-09 00:00:00-05:00,172.4587884580754,173.42531963913717,169.8076961887282,173.09393310546875,1702800,0.0,0.0,168.215185546875
2021-02-10 00:00:00-05:00,176.38019557793967,176.6747536015506,168.81354760372014,172.96507263183594,2839800,0.0,0.0,170.75581970214844
2021-02-11 00:00:00-05:00,173.42531701848247,179.27980299417732,173.42531701848247,178.58021545410156,2611700,0.0,0.0,173.06632385253906
2021-02-12 00:00:00-05:00,177.81616252304318,180.3199684127156,175.6897717522181,178.93919372558594,1671700,0.0,0.0,175.3492004394531
2021-02-16 00:00:00-05:00,183.60625565983642,184.27822887586763,178.29487070070738,179.8965606689453,2177800,0.0,0.0,176.6949951171875
2021-02-17 00:00:00-05:00,177.27308533318484,179.4455050320497,172.97427457382298,174.61279296875,2395200,0.0,0.0,176.99876708984374
2021-02-18 00:00:00-05:00,172.59686905056645,173.93161536203033,168.5005728342935,171.1056365966797,2770100,0.0,0.0,176.6268798828125
2021-02-19 00:00:00-05:00,174.3550059442947,177.43872730194587,173.50813258431447,176.36172485351562,2193900,0.0,0.0,176.1831817626953
2021-02-22 00:00:00-05:00,175.63455388338804,177.1073718799099,170.26794091504934,170.85707092285156,2407800,0.0,0.0,174.56675720214844
2021-02-23 00:00:00-05:00,169.25538420372493,169.25538420372493,161.3941785523058,166.68714904785156,5191300,0.0,0.0,171.92487487792968
2021-02-24 00:00:00-05:00,163.8519608252054,171.9709242778229,162.86700128492126,171.40940856933594,3161700,0.0,0.0,171.28419799804686
2021-02-25 00:00:00-05:00,171.68556203113596,173.05713694967994,163.89799873414353,164.3306427001953,3366300,0.0,0.0,169.92919921875
2021-02-26 00:00:00-05:00,167.57079560121275,169.5314999849266,163.0418566980411,168.04026794433594,2929000,0.0,0.0,168.26490783691406
2021-03-01 00:00:00-05:00,171.6947484687296,172.9650517389357,168.7490983585861,172.41275024414062,4355200,0.0,0.0,168.57604370117187
2021-03-02 00:00:00-05:00,173.97765077607858,174.67723838931687,167.58926283355947,167.78257751464844,2770600,0.0,0.0,168.79512939453124
2021-03-03 00:00:00-05:00,168.0863079706017,169.53151148100912,161.57824998193243,162.00169372558594,2418900,0.0,0.0,166.91358642578126
2021-03-04 00:00:00-05:00,159.79243435736447,162.6368265885031,151.1395860403457,153.98397827148438,3754500,0.0,0.0,164.84425354003906
2021-03-05 00:00:00-05:00,160.38159488377568,167.58924116973,152.84256207734182,166.5214385986328,5076200,0.0,0.0,164.54048767089844
2021-03-08 00:00:00-05:00,164.60677113636717,168.98842472268257,156.62588053355702,157.4083251953125,3168600,0.0,0.0,161.53960266113282
2021-03-09 00:00:00-05:00,162.1305617990883,170.5164669600463,161.09037374817672,169.20933532714844,3687700,0.0,0.0,161.8249542236328
2021-03-10 00:00:00-05:00,171.2528419930004,172.45873011448091,165.90464467098008,166.0887451171875,2240200,0.0,0.0,162.64236450195312
2021-03-11 00:00:00-05:00,171.85124695575263,174.42869625476112,170.3231860229014,173.5173797607422,3206900,0.0,0.0,166.54904479980468
2021-03-12 00:00:00-05:00,170.70415980637512,172.33835902310707,167.84200425960574,169.3931121826172,2078000,0.563,0.0,167.12337951660157
2021-03-15 00:00:00-04:00,181.70034850844186,184.65482285653746,179.3090719335805,184.5717315673828,12102100,0.0,0.0,172.55606079101562
2021-03-16 00:00:00-04:00,185.6704181898947,190.38834917685952,185.2457059256399,187.2215118408203,6890100,0.0,0.0,176.15849609375
2021-03-17 00:00:00-04:00,184.24857409662042,193.50901203951872,183.73154286325317,192.35491943359375,7321600,0.0,0.0,181.41173095703124
2021-03-18 00:00:00-04:00,188.48638278937088,192.27181185119028,182.52204059676066,183.3529815673828,8297300,0.0,0.0,183.37885131835938
2021-03-19 00:00:00-04:00,181.28485192164212,188.83722632883888,178.3949998510721,186.53826904296875,53102200,0.0,0.0,186.8078826904297
2021-03-22 00:00:00-04:00,187.52617222688357,190.30522173992918,181.56181632135883,185.0240936279297,5876600,0.0,0.0,186.89835510253906
2021-03-23 00:00:00-04:00,184.75635627057335,184.86714463974133,175.22816205692715,176.91775512695312,4748000,0.0,0.0,184.8376037597656
2021-03-24 00:00:00-04:00,178.42271392328664,179.5860341791112,172.88306950652222,172.9107666015625,2893000,0.0,0.0,180.9487731933594
2021-03-25 00:00:00-04:00,168.645246154681,177.26862264601812,168.2943974975199,176.63156127929688,3512600,0.0,0.0,179.6044891357422
2021-03-26 00:00:00-04:00,176.15145067823582,184.12853794645088,174.5634322653258,183.73153686523438,3096200,0.0,0.0,179.04314270019532
2021-03-29 00:00:00-04:00,181.8018727525653,182.49432819936118,177.15780601643098,179.24440002441406,2707300,0.0,0.0,177.8872039794922
2021-03-30 00:00:00-04:00,177.62869774383051,183.55611558199956,177.51790936361715,182.59591674804688,2324500,0.0,0.0,179.02283630371093
2021-03-31 00:00:00-04:00,184.67325352415216,187.60925782909933,182.80823626007938,185.8919677734375,2854000,0.0,0.0,181.61907653808595
2021-04-01 00:00:00-04:00,189.52048536134996,192.32723252894104,188.47718108213797,192.11488342285156,2662800,0.0,0.0,184.7157409667969
